iter	Passed	Remaining
1087	36090	129766
1088	36122	129730
1089	36154	129690
1090	36186	129655
1091	36216	129608
1092	36247	129570
1093	36278	129526
1094	36308	129485
1095	36338	129438
1096	36370	129402
1097	36401	129359
1098	36429	129311
1099	36457	129259
1100	36485	129206
1101	36518	129172
1102	36547	129126
1103	36580	129090
1104	36611	129051
1105	36642	129012
1106	36674	128973
1107	36708	128942
1108	36746	128928
1109	36778	128890
1110	36811	128857
1111	36842	128816
1112	36871	128768
1113	36897	128711
1114	36926	128662
1115	36951	128600
1116	36987	128578
1117	37018	128536
1118	37051	128503
1119	37079	128455
1120	37112	128420
1121	37146	128390
1122	37177	128351
1123	37208	128310
1124	37241	128275
1125	37270	128229
1126	37299	128181
1127	37329	128138
1128	37356	128084
1129	37384	128032
1130	37419	128005
1131	37451	127969
1132	37478	127918
1133	37510	127878
1134	37539	127833
1135	37573	127802
1136	37604	127764
1137	37637	127729
1138	37666	127683
1139	37695	127636
1140	37730	127609
1141	37762	127572
1142	37791	127526
1143	37820	127478
1144	37850	127436
1145	37884	127404
1146	37917	127371
1147	37947	127329
1148	37978	127290
1149	38009	127248
1150	38038	127204
1151	38067	127157
1152	38101	127125
1153	38130	127078
1154	38160	127035
1155	38193	127004
1156	38223	126958
1157	38252	126914
1158	38285	126878
1159	38312	126828
1160	38343	126786
1161	38371	126737
1162	38406	126712
1163	38438	126674
1164	38468	126631
1165	38502	126602
1166	38536	126571
1167	38564	126523
1168	38596	126486
1169	38630	126455
1170	38663	126423
1171	38691	126374
1172	38729	126358
1173	38758	126311
1174	38787	126264
1175	38816	126218
1176	38845	126172
1177	38877	126137
1178	38912	126111
1179	38944	126073
1180	38974	126031
1181	39003	125987
1182	39038	125960
1183	39069	125919
1184	39101	125883
1185	39134	125850
1186	39163	125806
1187	39194	125766
1188	39227	125733
1189	39255	125683
1190	39283	125636
1191	39313	125590
1192	39347	125562
1193	39375	125514
1194	39405	125470
1195	39436	125432
1196	39464	125381
1197	39497	125349
1198	39529	125314
1199	39560	125275
1200	39591	125234
1201	39621	125192
1202	39653	125156
1203	39683	125116
1204	39712	125069
1205	39741	125022
1206	39768	124972
1207	39796	124925
1208	39832	124902
1209	39866	124870
1210	39897	124832
1211	39927	124789
1212	39955	124742
1213	39985	124698
1214	40015	124658
1215	40047	124621
1216	40077	124578
1217	40107	124536
1218	40136	124493
1219	40170	124461
1220	40199	124416
1221	40226	124367
1222	40254	124318
1223	40287	124284
1224	40316	124240
1225	40349	124207
1226	40383	124178
1227	40415	124142
1228	40449	124114
1229	40482	124080
1230	40516	124051
1231	40548	124016
1232	40583	123989
1233	40616	123955
1234	40644	123907
1235	40674	123866
1236	40699	123809
1237	40731	123773
1238	40763	123736
1239	40792	123693
1240	40824	123658
1241	40888	123718
1242	40926	123701
1243	40958	123666
1244	40991	123633
1245	41025	123603
1246	41062	123583
1247	41094	123548
1248	41131	123525
1249	41164	123493
1250	41193	123448
1251	41221	123400
1252	41248	123350
1253	41282	123319
1254	41316	123291
1255	41352	123266
1256	41391	123251
1257	41430	123237
1258	41463	123203
1259	41496	123170
1260	41535	123157
1261	41574	123142
1262	41610	123119
1263	41647	123098
1264	41679	123062
1265	41707	123014
1266	41734	122964
1267	41760	122908
1268	41792	122875
1269	41829	122852
1270	41863	122822
1271	41900	122802
1272	41934	122773
1273	41969	122745
1274	42004	122719
